Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars)
9.472222222,0.89,14.1197,251,15.8263,0,1015.13
9.355555556,0.86,14.2646,259,15.8263,0,1015.63
9.377777778,0.89,3.9284,204,14.9569,0,1015.94
8.288888889,0.83,14.1036,269,15.8263,0,1016.41
8.755555556,0.83,11.0446,259,15.8263,0,1016.51
9.222222222,0.85,13.9587,258,14.9569,0,1016.66
7.733333333,0.95,12.3648,259,9.982,0,1016.72
8.772222222,0.89,14.1519,260,9.982,0,1016.84
10.82222222,0.82,11.3183,259,9.982,0,1017.37
13.77222222,0.72,12.5258,279,9.982,0,1017.22
16.01666667,0.67,17.5651,290,11.2056,0,1017.42
17.14444444,0.54,19.7869,316,11.4471,0,1017.74
17.8,0.55,21.9443,281,11.27,0,1017.59
17.33333333,0.51,20.6885,289,11.27,0,1017.48
18.87777778,0.47,15.3755,262,11.4471,0,1017.17
18.91111111,0.46,10.4006,288,11.27,0,1016.47
15.38888889,0.6,14.4095,251,11.27,0,1016.15
15.55,0.63,11.1573,230,11.4471,0,1016.17
14.25555556,0.69,8.5169,163,11.2056,0,1015.82
13.14444444,0.7,7.6314,139,11.2056,0,1015.83
11.55,0.77,7.3899,147,11.0285,0,1015.85
11.18333333,0.76,4.9266,160,9.982,0,1015.77
10.11666667,0.79,6.6493,163,15.8263,0,1015.4
10.2,0.77,3.9284,152,14.9569,0,1015.51
10.42222222,0.62,16.9855,150,15.8263,0,1014.4
9.911111111,0.66,17.2109,149,15.8263,0,1014.2
11.18333333,0.8,10.8192,163,14.9569,0,1008.71
7.155555556,0.79,11.0768,180,15.8263,0,1014.47
6.111111111,0.82,6.6493,161,15.8263,0,1014.45
6.788888889,0.83,13.0088,135,14.9569,0,1014.49
7.261111111,0.85,11.1734,141,6.1985,0,1014.52
7.8,0.83,12.8156,150,8.05,0,1014.16
9.872222222,0.78,13.7494,160,9.982,0,1014.24
12.22222222,0.72,15.6331,150,9.982,0,1014.25
15.09444444,0.61,17.549,151,9.982,0,1013.96
17.35555556,0.52,22.7815,169,9.982,0,1013.85
19.00555556,0.46,23.8924,169,9.982,0,1013.04
20.04444444,0.4,28.3682,170,9.982,0,1012.22
21.05,0.4,26.9031,187,10.3523,0,1011.44
21.18333333,0.37,25.6956,179,9.982,0,1010.52
20.11666667,0.4,25.3092,162,9.982,0,1009.83
20.21666667,0.36,18.1125,161,10.3523,0,1009.26
20,0.43,23.4255,160,9.982,0,1008.76
17.8,0.5,20.0445,150,11.2056,0,1008.36
16.06111111,0.53,21.3969,149,9.982,0,1008.11
15.02222222,0.55,21.3808,159,9.982,0,1008.15
14.42222222,0.58,20.0123,159,15.8263,0,1007.85
14.25555556,0.59,16.5025,168,14.9569,0,1007.89
13.77222222,0.6,17.0982,160,15.8263,0,1007.36
13.28333333,0.63,14.3612,160,15.8263,0,1007.26
8.633333333,0.87,22.0409,32,6.6976,0,1005.1
11.25,0.83,11.3344,152,15.8263,0,1007.01
11.18333333,0.89,11.2056,180,9.9015,0,1006.73
10.69444444,0.95,10.4006,161,6.6976,0,1006.59
11.11111111,0.93,12.0106,140,5.9731,0,1006.34
11.11111111,0.93,9.2092,103,10.8031,0,1006.09
12.16666667,0.82,9.9015,113,10.6743,0,1005.97
12.75555556,0.79,13.8299,129,10.8192,0,1005.63
13.83888889,0.84,9.0965,159,10.8192,0,1005.83
16.18333333,0.73,0.644,207,10.7548,0,1005.97
17.51666667,0.67,0.6762,153,10.8997,0,1005.64
17.38333333,0.67,3.864,4,10.8514,0,1005.2
17.36111111,0.71,7.8246,341,11.0768,0,1005.1
17.20555556,0.74,15.5848,15,10.8514,0,1004.65
15.63333333,0.81,23.6992,348,10.8836,0,1004.04
13.57777778,0.9,20.9622,321,7.6153,0,1004.08
10.91111111,0.86,22.3951,311,2.6565,0,1004.61
8.8,0.99,26.5006,339,2.6565,0,1004.99
8.961111111,0.93,23.2162,340,3.8157,0,1004.85
8.2,0.96,25.4219,330,4.4919,0,1004.96
7.688888889,0.96,28.1267,339,4.4436,0,1005.14
7.766666667,0.96,19.2878,339,5.6833,0,1005.05
8.2,0.96,20.447,341,3.1073,0,1004.8
8.177777778,0.93,27.8691,19,3.2039,0,1004.89
7.311111111,0.82,6.7459,277,14.0553,0,1007
7.644444444,0.93,14.9086,9,6.118,0,1004.3
6.622222222,0.93,25.0355,0,6.118,0,1003.68
6.683333333,0.93,19.8352,350,6.1663,0,1003.86
6.088888889,0.93,28.0945,349,7.9695,0,1003.57
6.066666667,0.93,27.9818,348,6.3434,0,1003.96
6.144444444,0.93,30.8637,349,10.5455,0,1004.1
7.133333333,0.8,32.1678,349,11.2056,0,1004.26
7.205555556,0.86,26.5328,339,11.27,0,1004.18
7.566666667,0.84,28.336,339,10.5455,0,1004.23
8.9,0.77,29.8333,348,11.27,0,1004.47
9.961111111,0.71,28.4809,339,11.27,0,1004.52
9.888888889,0.71,28.5131,338,11.0768,0,1004.29
11.06666667,0.71,25.6956,320,11.27,0,1003.93
10.11666667,0.76,25.3414,311,11.27,0,1004
11.03888889,0.66,21.413,311,9.982,0,1004.3
10.65,0.7,17.8549,310,14.9086,0,1004
10.05,0.7,15.1984,328,9.982,0,1004.39
9.9,0.66,15.7297,348,11.0285,0,1005.48
8.794444444,0.71,12.3648,20,9.982,0,1005.89
7.827777778,0.72,13.8943,28,15.8263,0,1006.37
